City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
346,West Fargo,US,84.25,clear sky,46.88,-96.9,Hilton Garden Inn Fargo
351,Kavaratti,IN,81.59,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
360,Asilah,MA,75.16,clear sky,35.47,-6.03,Hotel Zelis
361,Nargana,PA,81.07,overcast clouds,9.44,-78.59,Dubbir
363,Bengkulu,ID,82.89,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
364,North Platte,US,83.98,clear sky,41.12,-100.77,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
365,Zaozerne,UA,75.65,clear sky,45.16,33.28,"Molodozhnyy Lager' ""Pioner"""
366,Chernyshevskiy,RU,84.13,clear sky,63.01,112.47,Chernyseyskiy
370,Nahariyya,IL,80.28,clear sky,33.01,35.09,Shtarkman Erna Hotel
371,Santiago De Las Vegas,CU,76.62,broken clouds,22.97,-82.39,Bella Vista Miramar
372,Samarai,PG,79.39,moderate rain,-10.62,150.67,Nuli Sapi
373,Savannah Bight,HN,81.0,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
375,Bonthe,SL,76.57,overcast clouds,7.53,-12.51,Bonthe Holiday Village
378,Lazaro Cardenas,MX,80.92,overcast clouds,17.96,-102.2,quinta antigua
384,Mont-Dore,NC,78.78,few clouds,-22.28,166.58,GIte
387,Markala,ML,79.59,overcast clouds,13.7,-6.07,Famille Abdoulaye Bana DIALLO
390,Arlit,NE,83.3,broken clouds,18.74,7.39,Hôtel Telwa Bungalow
391,Srandakan,ID,82.38,scattered clouds,-7.94,110.25,Puri Brata
397,Celestun,MX,80.76,scattered clouds,20.87,-90.4,Posada Lilia
406,Ferry Pass,US,83.68,clear sky,30.51,-87.21,Hampton Inn Pensacola-Airport (Cordova Mall Area)
407,Galesburg,US,79.92,clear sky,40.95,-90.37,"Holiday Inn Express & Suites Galesburg, an IHG Hotel"
410,Padang,ID,84.02,overcast clouds,-0.95,100.35,Mercure Padang
411,Beyneu,KZ,77.52,overcast clouds,45.32,55.2,NUR
417,Namatanai,PG,84.83,light rain,-3.67,152.43,Seagulls Inn Namatani
418,Petropavlovsk-Kamchatskiy,RU,79.39,few clouds,53.05,158.65,The Hotel Petropavlovsky
423,Flinders,AU,76.05,broken clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
426,Rincon,US,83.12,overcast clouds,32.3,-81.24,Days Inn Rincon
427,Muzaffarnagar,IN,77.74,moderate rain,29.47,77.68,Arcade Farm
430,Praia,CV,77.54,broken clouds,14.92,-23.51,LT Aparthotel
432,Sabang,ID,83.46,overcast clouds,5.89,95.32,Hotel Citra
440,Suluq,LY,78.04,clear sky,31.67,20.25,منزل عبدالواحد خليفة الفاخري
442,Gat,IL,77.92,clear sky,31.61,34.76,OlusHome
443,Gidam,IN,77.7,light rain,18.98,81.4,Dhanshree Lodge And DormItory
453,Salinopolis,BR,79.23,overcast clouds,-0.61,-47.36,Salinas Park Resort Maçarico AP101
456,Kankon,IN,78.6,overcast clouds,15.02,74.02,Palolem Beach Resort
465,Harper,LR,76.17,overcast clouds,4.38,-7.72,Screensaver
468,Tahoua,NE,77.45,overcast clouds,14.89,5.27,Bungalows Guesthouse
474,Tekeli,KZ,75.02,clear sky,44.83,78.82,Vuslat Tekeli
478,Soe,ID,82.63,broken clouds,-9.86,124.28,Dena Hotel
482,Monte Alegre,BR,76.1,clear sky,-2.01,-54.07,Hotel Shekinah
486,Keti Bandar,PK,83.28,overcast clouds,24.14,67.45,Haji laloo memon house
495,Xihe,CN,82.49,broken clouds,31.69,113.47,Xintiandi Business Hotel
496,Matara,LK,81.45,overcast clouds,5.95,80.54,Amaloh Boutique Resort
499,Marsaxlokk,MT,79.09,clear sky,35.84,14.54,Water's Edge
502,Najran,SA,81.25,few clouds,17.49,44.13,محمد هادي ال فطيح
503,Khargone,IN,78.08,overcast clouds,21.82,75.6,SPOT ON 63187 Vallabha Hotel
505,Carpinteria,US,81.01,clear sky,34.4,-119.52,"Holiday Inn Express & Suites Carpinteria, an IHG Hotel"
506,San Patricio,US,84.88,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
509,Carupano,VE,76.57,few clouds,10.67,-63.26,Hotel La dorada
513,Puerto Carreno,CO,75.72,light rain,6.19,-67.49,Casa Hotel Victoria
517,Tuskegee,US,78.62,broken clouds,32.42,-85.69,Macon Motel
518,Prince Albert,CA,75.15,overcast clouds,53.2,-105.77,"Holiday Inn Express & Suites Prince Albert, an IHG Hotel"
520,Seydi,TM,84.74,clear sky,39.48,62.91,Seydi oteli
521,Galle,LK,81.05,overcast clouds,6.04,80.22,Amangalla
526,Dongsheng,CN,75.29,overcast clouds,39.82,109.98,Crowne Plaza Ordos
530,Catia La Mar,VE,79.0,few clouds,10.6,-67.03,HOTEL PLAYA GRANDE CARIBE
536,Bubaque,GW,79.97,light rain,11.28,-15.83,"Casa Dora, Bubaque"
543,Acapulco,MX,84.02,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
545,Valley Station,US,80.31,clear sky,38.11,-85.87,Manor Isle Mobile Home & Extended-Stay RV Park
549,Westport,US,78.94,overcast clouds,41.14,-73.36,The Westport Inn
550,Ryotsu,JP,84.16,scattered clouds,38.08,138.43,Sadokamoko Onsen Kohanno Yado Yoshidaya
551,Maumere,ID,83.28,scattered clouds,-8.62,122.21,Sylvia Hotel
554,Moa,CU,80.38,broken clouds,20.66,-74.94,Carmen
560,Eureka,US,77.74,overcast clouds,40.8,-124.16,Eureka Inn Trademark By Wyndham
561,Kirakira,SB,84.69,broken clouds,-10.45,161.92,SanBiz Lodge
570,Sabha,LY,80.69,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
572,Ewa Beach,US,84.15,broken clouds,21.32,-158.01,Uncle Junior Robert
576,Bodden Town,KY,77.0,light rain,19.28,-81.25,Will T Place
578,Osmena,PH,84.94,broken clouds,10.52,119.93,Arjemarkyza Lodge
579,Kailua,US,84.18,light rain,21.4,-157.74,Sheffield House Bed & Breakfast
581,Natchez,US,78.26,clear sky,31.56,-91.4,Hampton Inn & Suites Natchez
582,Airai,TL,76.06,overcast clouds,-8.93,125.41,Juvinal Martin
583,Port-Gentil,GA,75.25,scattered clouds,-0.72,8.78,Fengshui Residence
585,Lexington,US,76.14,clear sky,37.99,-84.48,DoubleTree Suites by Hilton Hotel Lexington
588,Tautira,PF,80.01,broken clouds,-17.73,-149.15,Pension Oaoa
590,Manokwari,ID,84.56,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
592,Metro,ID,83.97,broken clouds,-5.11,105.31,OYO 3177 Wisma Lintang
597,Hambantota,LK,82.74,overcast clouds,6.12,81.12,Bungalow 63
602,Karpathos,GR,77.56,clear sky,35.51,27.21,Alex
603,Nelson Bay,AU,76.1,broken clouds,-32.72,152.15,Mantra Nelson Bay
607,Montego Bay,JM,80.4,few clouds,18.47,-77.92,Sunscape Splash Montego Bay
608,Bastia,FR,76.3,overcast clouds,42.67,9.33,Hotel Santa Maria
609,Banjar,ID,80.46,few clouds,-8.19,114.97,The Hamsa Resort
610,Sri Aman,MY,82.45,few clouds,1.24,111.46,Seri Simanggang Hotel
625,Martapura,ID,84.29,clear sky,-3.42,114.85,Montana Hotel Syariah
627,Pasni,PK,82.06,overcast clouds,25.26,63.47,3G hotel pasni
634,Erenhot,CN,77.41,overcast clouds,43.65,111.98,Erenhot Rurouni Youth Hostel
635,Nueva Gorgona,PA,81.21,overcast clouds,8.55,-79.87,Coronado Luxury Club & Suites
637,Beberibe,BR,78.84,clear sky,-4.18,-38.13,Villa Arte Pousada Morro Branco
640,Itarema,BR,77.61,few clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
642,Djibo,BF,83.8,overcast clouds,14.1,-1.63,Centre Des Ressources DPENA
643,Kloulklubed,PW,79.3,overcast clouds,7.04,134.26,Storyboard Beach Resort
652,Kokoda,PG,76.17,overcast clouds,-8.88,147.74,Daito Guest House
654,Puerto Escondido,MX,77.83,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
662,Jaru,BR,82.31,overcast clouds,-10.44,-62.47,Hotel Paraná
665,Neiafu,TO,77.68,light rain,-18.65,-173.98,Mystic Sands Beachfront Accommodation
